company,bill,description
ExxonMobil,hr2307-117,Climate and Energy Policy Act
Pfizer,s1234-118,Pharmaceutical Pricing Reform Act
Amazon,hr3684-117,Digital Services Competition Act
Apple,s2456-119,Technology Innovation and Privacy Act
Tesla,hr1789-118,Electric Vehicle Infrastructure Act
Meta,s3201-117,Social Media Accountability Act
Google,hr4567-119,Artificial Intelligence Regulation Act
Microsoft,s1876-118,Cloud Computing Security Act
JPMorgan Chase,hr2890-117,Financial Services Reform Act
Walmart,s3456-119,Worker Protection and Benefits Act
